Code,Name,Identified deaths,,,,,Estimated deaths3,,,,,"Estimated deaths per 100,000 total population4",,,,,5 years combined
,,2013,2014,2015,2016,2017,2013,2014,2015,2016,2017,2013,2014,2015,2016,2017,
K04000001,England & Wales,392,401,425,472,491,482,475,508,565,597,0.820501018,0.808585028,0.864760409,0.961790612,1.016263709,1.2
E92000001,England,374,396,406,450,480,460,469,485,539,584,1.14950258,1.164963559,1.196234841,1.317964331,1.42223663,1.3
W92000004,Wales,18,5,19,22,11,22,6,23,26,13,0.71,0.19,0.73,0.84,0.43,0.8
,,,,,,,,,,,,,,,,,
E12000001,North East,15,27,12,20,26,18,32,14,24,32,0.7,1.21,0.54,0.91,1.2,1.2
E06000002,Middlesbrough                                     ,2,3,3,2,2,2,4,4,2,2,0.7,3.5,3.5,,,2.8
E06000003,Redcar and Cleveland                              ,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,
E06000004,StocktononTees                                  ,1,1,1,2,2,1,1,1,2,2,,,,,,1.2
E06000005,Darlington                                        ,0,3,0,1,1,0,4,0,1,1,0,4.6,0,,,1.5
E06000047,County Durham                                     ,2,2,1,2,2,2,2,1,2,2,,,,,,0.6
E06000057,Northumberland                                    ,0,2,1,2,0,0,2,1,2,0,0,,,,0,0.5
E08000021,Newcastle upon Tyne                               ,6,10,3,8,11,7,12,4,10,13,3.4,5.4,1.6,4.2,5.9,4.1
E08000022,North Tyneside                                    ,0,1,1,0,0,0,1,1,0,0,0,,,0,0,
E08000023,South Tyneside                                    ,0,1,0,0,2,0,1,0,0,2,0,,0,0,,0.7
E08000024,Sunderland                                        ,3,3,2,3,5,4,4,2,4,6,1.8,1.7,,1.7,2.9,1.9
E08000037,Gateshead                                         ,0,1,0,0,1,0,1,0,0,1,0,,0,0,,
,,,,,,,,,,,,,,,,,
E12000002,North West,45,56,58,73,98,55,66,69,87,119,0.76,0.91,0.96,1.2,1.64,1.5
E06000006,Halton                                            ,0,0,1,0,2,0,0,1,0,2,0,0,,0,,0.8
E06000007,Warrington                                        ,1,1,2,4,2,1,1,2,5,2,,,,3.1,,1.6
E06000008,Blackburn with Darwen                             ,3,6,7,9,9,4,7,8,11,11,3.5,6.7,7.8,10.1,10.2,7.7
E06000009,Blackpool                                         ,0,2,3,3,1,0,2,4,4,1,0,,3.5,3.5,,2.1
E06000049,Cheshire East                                     ,0,2,2,2,7,0,2,2,2,9,0,,,,3.1,1.1
E06000050,Cheshire West and Chester                         ,4,1,0,1,3,5,1,0,1,4,2,,0,,1.5,0.9
E07000026,Allerdale                                         ,0,0,2,1,0,0,0,2,1,0,0,0,,,0,1
E07000027,BarrowinFurness                                 ,0,0,0,2,3,0,0,0,2,4,0,0,0,,7.3,2.4
E07000028,Carlisle                                          ,3,1,0,0,0,4,1,0,0,0,4.6,,0,0,0,1.2
E07000029,Copeland                                          ,2,0,0,0,1,2,0,0,0,1,,0,0,0,,1.4
E07000030,Eden                                              ,1,0,0,1,0,1,0,0,1,0,,0,0,,0,
E07000031,South Lakeland                                    ,0,0,0,2,1,0,0,0,2,1,0,0,0,,,0.9
E07000117,Burnley                                           ,0,1,1,1,0,0,1,1,1,0,0,,,,0,1.1
E07000118,Chorley                                           ,0,2,1,0,0,0,2,1,0,0,0,,,0,0,0.8
E07000121,Lancaster                                         ,0,1,0,0,0,0,1,0,0,0,0,,0,0,0,
E07000122,Pendle                                            ,0,0,1,0,1,0,0,1,0,1,0,0,,0,,
E07000123,Preston                                           ,2,3,1,0,2,2,4,1,0,2,,3.4,,0,,1.8
E07000126,South Ribble                                      ,0,0,0,1,0,0,0,0,1,0,0,0,0,,0,
E07000127,West Lancashire                                   ,0,0,1,0,0,0,0,1,0,0,0,0,,0,0,
E07000128,Wyre                                              ,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,
E08000001,Bolton                                            ,0,2,0,3,4,0,2,0,4,5,0,,0,1.7,2.4,1
E08000002,Bury                                              ,2,3,0,2,4,2,4,0,2,5,,2.6,0,,3.5,1.9
E08000003,Manchester                                        ,7,10,10,9,17,9,12,12,11,21,2.2,3,2.9,2.6,4.9,3.1
E08000004,Oldham                                            ,2,1,0,0,3,2,1,0,0,4,,,0,0,2.2,0.9
E08000005,Rochdale                                          ,1,0,3,1,1,1,0,4,1,1,,0,2.3,,,0.9
E08000006,Salford                                           ,0,4,2,7,5,0,5,2,8,6,0,2.6,,4.5,3.3,2.4
E08000007,Stockport                                         ,3,0,0,1,1,4,0,0,1,1,1.8,0,0,,,0.6
E08000008,Tameside                                          ,0,3,2,1,1,0,4,2,1,1,0,2.2,,,,1
E08000009,Trafford                                          ,1,1,0,0,2,1,1,0,0,2,,,0,0,,0.6
E08000010,Wigan                                             ,1,1,4,1,3,1,1,5,1,4,,,2,,1.5,1
E08000011,Knowsley                                          ,0,1,1,1,1,0,1,1,1,1,0,,,,,0.9
E08000012,Liverpool                                         ,8,6,9,14,14,10,7,11,17,17,2.7,1.9,2.9,4.4,4.5,3.3
E08000013,St. Helens                                        ,1,1,1,5,6,1,1,1,6,7,,,,4.5,5.5,2.6
E08000014,Sefton                                            ,0,0,1,0,1,0,0,1,0,1,0,0,,0,,
E08000015,Wirral                                            ,3,3,3,1,2,4,4,4,1,2,1.6,1.5,1.5,,,1.2
,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,25,22,35,34,40,31,26,42,41,49,0.56,0.48,0.77,0.75,0.89,0.9
E06000010,"Kingston upon Hull, City of                       ",3,2,5,9,10,4,2,6,11,12,1.9,,3.1,5.5,6.2,3.6
E06000011,East Riding of Yorkshire                          ,1,2,2,0,0,1,2,2,0,0,,,,0,0,0.5
E06000012,North East Lincolnshire                           ,0,0,1,1,3,0,0,1,1,4,0,0,,,3.1,1
E06000013,North Lincolnshire                                ,0,0,0,1,0,0,0,0,1,0,0,0,0,,0,
E06000014,York                                              ,0,1,3,1,5,0,1,4,1,6,0,,2.3,,3.8,1.5
E07000165,Harrogate                                         ,0,1,1,0,2,0,1,1,0,2,0,,,0,,0.8
E07000166,Richmondshire                                     ,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,
E07000168,Scarborough                                       ,1,0,2,1,0,1,0,2,1,0,,0,,,0,1.2
E07000169,Selby                                             ,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,
E08000016,Barnsley                                          ,0,0,0,2,0,0,0,0,2,0,0,0,0,,0,
E08000017,Doncaster                                         ,3,1,1,2,3,4,1,1,2,4,1.6,,,,1.6,1.1
E08000018,Rotherham                                         ,0,1,2,0,0,0,1,2,0,0,0,,,0,0,0.4
E08000019,Sheffield                                         ,7,4,6,3,4,9,5,7,4,5,2,1.1,1.7,0.8,1.1,1.4
E08000032,Bradford                                          ,2,3,0,1,2,2,4,0,1,2,,0.9,0,,,0.5
E08000033,Calderdale                                        ,0,1,0,1,0,0,1,0,1,0,0,,0,,0,
E08000034,Kirklees                                          ,0,0,0,2,0,0,0,0,2,0,0,0,0,,0,
E08000035,Leeds                                             ,8,5,10,9,8,10,6,12,11,10,1.7,1,2.1,1.8,1.7,1.7
E08000036,Wakefield                                         ,0,1,2,1,1,0,1,2,1,1,0,,,,,0.5
,,,,,,,,,,,,,,,,,
E12000004,East Midlands,20,17,32,29,28,25,20,38,35,34,0.52,0.42,0.8,0.73,0.71,0.9
E06000015,Derby                                             ,2,5,3,2,4,2,6,4,2,5,,3.2,1.9,,2.6,2.1
E06000016,Leicester                                         ,5,3,9,9,4,6,4,11,11,5,2.5,1.4,4.2,4.2,1.8,2.8
E06000018,Nottingham                                        ,2,0,4,3,1,2,0,5,4,1,,0,2,1.4,,1
E07000032,Amber Valley                                      ,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,
E07000033,Bolsover                                          ,1,0,0,0,1,1,0,0,0,1,,0,0,0,,
E07000034,Chesterfield                                      ,4,0,1,2,4,5,0,1,2,5,6.3,0,,,6.2,3.4
E07000035,Derbyshire Dales                                  ,0,0,1,0,0,0,0,1,0,0,0,0,,0,0,
E07000036,Erewash                                           ,0,1,0,0,1,0,1,0,0,1,0,,0,0,,
E07000130,Charnwood                                         ,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,
E07000132,Hinckley and Bosworth                             ,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,
E07000134,North West Leicestershire                         ,0,0,1,1,0,0,0,1,1,0,0,0,,,0,
E07000136,Boston                                            ,1,0,1,0,1,1,0,1,0,1,,0,,0,,1.5
E07000137,East Lindsey                                      ,1,0,2,0,0,1,0,2,0,0,,0,,0,0,0.7
E07000138,Lincoln                                           ,1,2,0,3,1,1,2,0,4,1,,,0,4.8,,2.2
E07000139,North Kesteven                                    ,0,0,0,1,0,0,0,0,1,0,0,0,0,,0,
E07000140,South Holland                                     ,0,0,1,0,0,0,0,1,0,0,0,0,,0,0,
E07000142,West Lindsey                                      ,0,0,0,0,2,0,0,0,0,2,0,0,0,0,,
E07000150,Corby                                             ,1,0,1,0,0,1,0,1,0,0,,0,,0,0,
E07000151,Daventry                                          ,0,2,0,0,0,0,2,0,0,0,0,,0,0,0,
E07000152,East Northamptonshire                             ,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,
E07000153,Kettering                                         ,0,1,1,1,0,0,1,1,1,0,0,,,,0,1
E07000154,Northampton                                       ,0,2,6,4,6,0,2,7,5,7,0,,4.4,2.9,4.4,2.7
E07000171,Bassetlaw                                         ,0,0,1,1,0,0,0,1,1,0,0,0,,,0,
E07000174,Mansfield                                         ,0,1,0,1,0,0,1,0,1,0,0,,0,,0,
E07000175,Newark and Sherwood                               ,0,0,0,1,0,0,0,0,1,0,0,0,0,,0,
E07000176,Rushcliffe                                        ,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,
,,,,,,,,,,,,,,,,,
E12000005,West Midlands,33,46,40,29,37,41,54,48,35,45,0.69,0.93,0.82,0.59,0.77,1.1
E06000019,"Herefordshire, County of                          ",1,3,0,0,0,1,4,0,0,0,,2.6,0,0,0,0.7
E06000020,Telford and Wrekin                                ,0,2,1,0,1,0,2,1,0,1,0,,,0,,0.8
E06000021,StokeonTrent                                    ,3,4,2,2,4,4,5,2,2,5,2,2.6,,,2.6,1.9
E06000051,Shropshire                                        ,1,1,2,0,0,1,1,2,0,0,,,,0,0,0.4
E07000193,East Staffordshire                                ,0,2,0,1,1,0,2,0,1,1,0,,0,,,1.1
E07000194,Lichfield                                         ,0,0,0,1,0,0,0,0,1,0,0,0,0,,0,
E07000195,NewcastleunderLyme                              ,1,1,0,3,0,1,1,0,4,0,,,0,3.7,0,1.2
E07000196,South Staffordshire                               ,1,1,0,0,0,1,1,0,0,0,,,0,0,0,
E07000197,Stafford                                          ,1,0,1,0,0,1,0,1,0,0,,0,,0,0,
E07000199,Tamworth                                          ,0,1,0,0,0,0,1,0,0,0,0,,0,0,0,
E07000219,Nuneaton and Bedworth                             ,0,0,1,0,1,0,0,1,0,1,0,0,,0,,
E07000221,StratfordonAvon                                 ,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,
E07000222,Warwick                                           ,1,1,0,0,0,1,1,0,0,0,,,0,0,0,
E07000234,Bromsgrove                                        ,0,0,2,0,0,0,0,2,0,0,0,0,,0,0,
E07000235,Malvern Hills                                     ,1,0,0,1,0,1,0,0,1,0,,0,0,,0,
E07000236,Redditch                                          ,0,1,1,0,0,0,1,1,0,0,0,,,0,0,
E07000237,Worcester                                         ,1,3,2,0,1,1,4,2,0,1,,4.7,,0,,2.2
E07000238,Wychavon                                          ,1,1,0,0,1,1,1,0,0,1,,,0,0,,0.8
E07000239,Wyre Forest                                       ,0,0,1,0,0,0,0,1,0,0,0,0,,0,0,
E08000025,Birmingham                                        ,13,15,17,15,15,16,18,20,18,18,2,2.2,2.5,2.2,2.2,2.2
E08000026,Coventry                                          ,4,2,1,2,7,5,2,1,2,9,2,,,,3.2,1.5
E08000027,Dudley                                            ,0,0,1,0,0,0,0,1,0,0,0,0,,0,0,
E08000028,Sandwell                                          ,1,3,3,1,2,1,4,4,1,2,,1.6,1.6,,,1
E08000029,Solihull                                          ,1,0,1,0,0,1,0,1,0,0,,0,,0,0,
E08000030,Walsall                                           ,0,3,3,1,2,0,4,4,1,2,0,1.8,1.8,,,1.1
E08000031,Wolverhampton                                     ,1,2,1,2,2,1,2,1,2,2,,,,,,1
,,,,,,,,,,,,,,,,,
E12000006,East of England,23,38,22,28,27,28,45,26,34,33,0.46,0.73,0.43,0.54,0.53,0.7
E06000031,Peterborough                                      ,1,0,2,1,3,1,0,2,1,4,,0,,,2.6,1.2
E06000032,Luton                                             ,0,1,1,0,0,0,1,1,0,0,0,,,0,0,
E06000033,SouthendonSea                                   ,1,1,1,0,2,1,1,1,0,2,,,,0,,0.9
E06000055,Bedford                                           ,2,1,1,1,1,2,1,1,1,1,,,,,,1.2
E06000056,Central Bedfordshire                              ,0,0,0,1,1,0,0,0,1,1,0,0,0,,,
E07000008,Cambridge                                         ,1,3,2,4,1,1,4,2,5,1,,3.6,,4.9,,2.7
E07000009,East Cambridgeshire                               ,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,
E07000010,Fenland                                           ,1,0,1,1,0,1,0,1,1,0,,0,,,0,1
E07000012,South Cambridgeshire                              ,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,
E07000066,Basildon                                          ,0,0,0,1,0,0,0,0,1,0,0,0,0,,0,
E07000068,Brentwood                                         ,0,0,1,0,1,0,0,1,0,1,0,0,,0,,
E07000069,Castle Point                                      ,0,2,0,0,0,0,2,0,0,0,0,,0,0,0,
E07000070,Chelmsford                                        ,2,0,0,0,0,2,0,0,0,0,,0,0,0,0,
E07000071,Colchester                                        ,0,1,1,0,1,0,1,1,0,1,0,,,0,,0.5
E07000072,Epping Forest                                     ,2,1,0,0,0,2,1,0,0,0,,,0,0,0,0.8
E07000073,Harlow                                            ,0,2,0,0,0,0,2,0,0,0,0,,0,0,0,
E07000074,Maldon                                            ,0,1,0,0,0,0,1,0,0,0,0,,0,0,0,
E07000076,Tendring                                          ,0,1,1,1,0,0,1,1,1,0,0,,,,0,0.7
E07000095,Broxbourne                                        ,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,
E07000096,Dacorum                                           ,1,0,1,0,0,1,0,1,0,0,,0,,0,0,
E07000099,North Hertfordshire                               ,0,0,1,0,0,0,0,1,0,0,0,0,,0,0,
