Code,Name,Identified deaths,,,,,Estimated deaths3,,,,,"Estimated deaths per 100,000 total population4",,,,,5 years combined
E07000102,Three Rivers                                      ,0,1,0,0,1,0,1,0,0,1,0,,0,0,,
E07000103,Watford                                           ,4,3,2,2,2,5,4,2,2,2,7.1,5.1,,,,4.5
E07000143,Breckland                                         ,0,0,0,2,1,0,0,0,2,1,0,0,0,,,0.7
E07000144,Broadland                                         ,1,1,0,0,0,1,1,0,0,0,,,0,0,0,
E07000145,Great Yarmouth                                    ,0,2,0,3,3,0,2,0,4,4,0,,0,5,5,2.7
E07000146,King's Lynn and West Norfolk                      ,1,2,1,1,2,1,2,1,1,2,,,,,,1.5
E07000147,North Norfolk                                     ,0,2,0,1,0,0,2,0,1,0,0,,0,,0,1
E07000148,Norwich                                           ,1,1,3,2,1,1,1,4,2,1,,,3.4,,,1.8
E07000149,South Norfolk                                     ,2,1,1,0,1,2,1,1,0,1,,,,0,,1.3
E07000200,Babergh                                           ,1,1,0,1,0,1,1,0,1,0,,,0,,0,1.1
E07000201,Forest Heath                                      ,0,0,0,1,0,0,0,0,1,0,0,0,0,,0,
E07000202,Ipswich                                           ,0,3,0,2,2,0,4,0,2,2,0,3.5,0,,,1.7
E07000203,Mid Suffolk                                       ,0,0,0,1,0,0,0,0,1,0,0,0,0,,0,
E07000204,St Edmundsbury                                    ,0,2,0,1,0,0,2,0,1,0,0,,0,,0,0.9
E07000205,Suffolk Coastal                                   ,0,1,0,0,0,0,1,0,0,0,0,,0,0,0,
E07000240,St Albans                                         ,0,1,0,0,0,0,1,0,0,0,0,,0,0,0,
E07000241,Welwyn Hatfield                                   ,1,1,2,0,2,1,1,2,0,2,,,,0,,1.6
E07000243,Stevenage                                         ,0,2,0,1,0,0,2,0,1,0,0,,0,,0,1.1
,,,,,,,,,,,,,,,,,
E12000007,London,109,87,118,110,112,134,103,141,132,136,1.52,1.17,1.6,1.49,1.54,2
E09000002,Barking and Dagenham                              ,0,0,0,2,2,0,0,0,2,2,0,0,0,,,0.7
E09000003,Barnet                                            ,1,2,3,0,0,1,2,4,0,0,,,1.3,0,0,0.5
E09000004,Bexley                                            ,1,3,0,0,1,1,4,0,0,1,,2,0,0,,0.7
E09000005,Brent                                             ,1,7,5,2,0,1,8,6,2,0,,3.4,2.5,,0,1.5
E09000006,Bromley                                           ,3,1,2,1,0,4,1,2,1,0,1.6,,,,0,0.7
E09000007,Camden                                            ,17,9,16,19,12,21,11,19,23,15,11.5,5.7,10,11.7,7.4,9.2
E09000008,Croydon                                           ,2,3,2,3,2,2,4,2,4,2,,1.3,,1.3,,1
E09000009,Ealing                                            ,5,1,6,4,3,6,1,7,5,4,2.4,,2.8,1.9,1.4,1.8
E09000010,Enfield                                           ,1,2,2,0,1,1,2,2,0,1,,,,0,,0.6
E09000011,Greenwich                                         ,0,2,1,2,2,0,2,1,2,2,0,,,,,0.8
E09000012,City and Hackney,9,1,7,9,6,11,1,8,11,7,5.4,,3.9,5,3.3,3.7
E09000013,Hammersmith and Fulham                            ,2,0,3,2,4,2,0,4,2,5,,0,2.5,,3.4,1.8
E09000014,Haringey                                          ,1,1,0,1,5,1,1,0,1,6,,,0,,2.9,0.9
E09000015,Harrow                                            ,1,1,1,0,1,1,1,1,0,1,,,,0,,0.5
E09000016,Havering                                          ,1,0,0,3,2,1,0,0,4,2,,0,0,2,,0.8
E09000017,Hillingdon                                        ,0,2,1,2,1,0,2,1,2,1,0,,,,,0.7
E09000018,Hounslow                                          ,1,1,0,5,2,1,1,0,6,2,,,0,3,,1.1
E09000019,Islington                                         ,7,6,1,7,4,9,7,1,8,5,4.9,4,,4.5,2.6,3.3
E09000020,Kensington and Chelsea                            ,6,2,1,3,3,7,2,1,4,4,5.9,,,2.9,3,2.9
E09000021,Kingston upon Thames                              ,2,0,4,2,4,2,0,5,2,5,,0,3.7,,3.7,2.3
E09000022,Lambeth                                           ,13,12,8,7,14,16,14,10,8,17,6.4,5.6,3.7,3.3,6.6,5.1
E09000023,Lewisham                                          ,2,7,4,6,7,2,8,5,7,9,,3.8,2.1,3.2,3.7,2.8
E09000024,Merton                                            ,1,1,0,1,1,1,1,0,1,1,,,0,,,0.6
E09000025,Newham                                            ,0,3,9,4,6,0,4,11,5,7,0,1.4,4.2,1.8,2.8,2.1
E09000026,Redbridge                                         ,2,1,0,3,1,2,1,0,4,1,,,0,1.6,,0.8
E09000027,Richmond upon Thames                              ,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,
E09000028,Southwark                                         ,3,2,7,7,10,4,2,8,8,12,1.6,,3.4,3.4,4.9,2.9
E09000029,Sutton                                            ,1,0,0,2,1,1,0,0,2,1,,0,0,,,0.7
E09000030,Tower Hamlets                                     ,10,4,10,4,8,12,5,12,5,10,5.8,2.1,5.2,2,4.1,3.8
E09000031,Waltham Forest                                    ,1,2,5,3,1,1,2,6,4,1,,,3,1.8,,1.4
E09000032,Wandsworth                                        ,4,4,4,1,2,5,5,5,1,2,2,1.9,1.9,,,1.4
E09000033,Westminster                                       ,10,7,16,5,6,12,8,19,6,7,6.9,4.5,10.1,3.1,3.8,5.7
,,,,,,,,,,,,,,,,,
E12000008,South East,64,61,49,81,69,79,72,59,97,84,0.87,0.8,0.64,1.07,0.92,1.2
E06000035,Medway                                            ,1,2,1,3,6,1,2,1,4,7,,,,1.7,3.6,1.5
E06000036,Bracknell Forest                                  ,0,0,0,1,0,0,0,0,1,0,0,0,0,,0,
E06000037,West Berkshire                                    ,1,1,4,3,1,1,1,5,4,1,,,4.1,3.1,,2.1
E06000038,Reading                                           ,3,1,7,4,2,4,1,8,5,2,3.1,,6.9,3.9,,3.4
E06000039,Slough                                            ,4,3,1,2,0,5,4,1,2,0,4.8,3.4,,,0,2.3
E06000040,Windsor and Maidenhead                            ,1,1,0,1,0,1,1,0,1,0,,,0,,0,0.7
E06000042,Milton Keynes                                     ,2,1,0,1,3,2,1,0,1,4,,,0,,1.9,0.9
E06000043,Brighton and Hove                                 ,9,8,3,11,9,11,9,4,13,11,5.1,4.3,1.6,5.8,4.8,4.3
E06000044,Portsmouth                                        ,3,4,2,6,2,4,5,2,7,2,2.4,3,,4.4,,2.6
E06000045,Southampton                                       ,9,4,4,10,6,11,5,5,12,7,6,2.6,2.5,6.2,3.8,4.2
E06000046,Isle of Wight                                     ,1,1,0,1,0,1,1,0,1,0,,,0,,0,0.7
E07000004,Aylesbury Vale                                    ,2,0,0,0,1,2,0,0,0,1,,0,0,0,,0.5
E07000006,South Bucks                                       ,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,
E07000007,Wycombe                                           ,1,0,0,2,3,1,0,0,2,4,,0,0,,2.9,1.1
E07000061,Eastbourne                                        ,1,0,0,3,4,1,0,0,4,5,,0,0,4.9,6.6,2.7
E07000062,Hastings                                          ,1,1,1,1,0,1,1,1,1,0,,,,,0,1.4
E07000065,Wealden                                           ,0,1,1,0,0,0,1,1,0,0,0,,,0,0,
E07000084,Basingstoke and Deane                             ,0,2,1,1,1,0,2,1,1,1,0,,,,,0.9
E07000087,Fareham                                           ,2,1,0,0,1,2,1,0,0,1,,,0,0,,1.1
E07000088,Gosport                                           ,0,0,1,0,1,0,0,1,0,1,0,0,,0,,
E07000090,Havant                                            ,0,2,0,1,0,0,2,0,1,0,0,,0,,0,0.8
E07000093,Test Valley                                       ,0,2,0,3,0,0,2,0,4,0,0,,0,4,0,1.3
E07000094,Winchester                                        ,2,2,1,3,3,2,2,1,4,4,,,,4,4,3
E07000105,Ashford                                           ,1,0,0,1,2,1,0,0,1,2,,0,0,,,1.1
E07000106,Canterbury                                        ,0,2,3,4,7,0,2,4,5,9,0,,3,3.9,6.8,3.2
E07000107,Dartford                                          ,2,0,2,1,1,2,0,2,1,1,,0,,,,1.9
E07000108,Dover                                             ,1,2,0,0,0,1,2,0,0,0,,,0,0,0,0.9
E07000109,Gravesham                                         ,0,1,0,1,0,0,1,0,1,0,0,,0,,0,
E07000110,Maidstone                                         ,1,1,1,1,1,1,1,1,1,1,,,,,,1
E07000112,Folkestone and Hythe                              ,0,0,2,1,1,0,0,2,1,1,0,0,,,,1.2
E07000113,Swale                                             ,2,1,2,0,0,2,1,2,0,0,,,,0,0,1.2
E07000114,Thanet                                            ,1,1,3,2,0,1,1,4,2,0,,,3.6,,0,1.7
E07000115,Tonbridge and Malling                             ,1,2,2,0,0,1,2,2,0,0,,,,0,0,1.3
E07000116,Tunbridge Wells                                   ,0,1,1,0,2,0,1,1,0,2,0,,,0,,1.1
E07000177,Cherwell                                          ,1,1,0,0,3,1,1,0,0,4,,,0,0,3.4,1.1
E07000178,Oxford                                            ,5,5,1,8,8,6,6,1,10,10,5.2,4.9,,7.9,8.1,5.4
E07000181,West Oxfordshire                                  ,0,0,0,1,0,0,0,0,1,0,0,0,0,,0,
E07000207,Elmbridge                                         ,0,2,1,0,0,0,2,1,0,0,0,,,0,0,0.7
E07000209,Guildford                                         ,2,2,1,1,1,2,2,1,1,1,,,,,,1.5
E07000211,Reigate and Banstead                              ,0,1,0,0,0,0,1,0,0,0,0,,0,0,0,
E07000212,Runnymede                                         ,0,0,1,0,0,0,0,1,0,0,0,0,,0,0,
E07000213,Spelthorne                                        ,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,
E07000215,Tandridge                                         ,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,
E07000216,Waverley                                          ,0,0,1,1,0,0,0,1,1,0,0,0,,,0,
E07000217,Woking                                            ,0,1,0,1,0,0,1,0,1,0,0,,0,,0,
E07000226,Crawley                                           ,0,0,0,1,0,0,0,0,1,0,0,0,0,,0,
E07000228,Mid Sussex                                        ,1,1,0,0,0,1,1,0,0,0,,,0,0,0,
E07000229,Worthing                                          ,0,0,1,0,0,0,0,1,0,0,0,0,,0,0,
,,,,,,,,,,,,,,,,,
E12000009,South West,40,42,40,46,43,49,50,48,55,52,0.88,0.89,0.86,0.99,0.94,1.3
E06000022,Bath and North East Somerset                      ,1,1,0,1,2,1,1,0,1,2,,,0,,,0.9
E06000023,"Bristol, City of                                  ",5,11,5,8,14,6,13,6,10,17,1.8,3.9,1.7,2.8,4.9,3
E06000024,North Somerset                                    ,0,2,1,0,0,0,2,1,0,0,0,,,0,0,0.5
E06000025,South Gloucestershire                             ,1,0,1,1,0,1,0,1,1,0,,0,,,0,0.4
E06000026,Plymouth                                          ,3,3,2,9,2,4,4,2,11,2,1.9,1.8,,5.5,,2.3
E06000027,Torbay                                            ,1,0,0,2,0,1,0,0,2,0,,0,0,,0,0.7
E06000028,Bournemouth                                       ,10,4,6,1,7,12,5,7,1,9,8.6,3.3,5,,5.8,4.7
E06000029,Poole                                             ,0,0,0,1,0,0,0,0,1,0,0,0,0,,0,
E06000030,Swindon                                           ,1,1,3,4,0,1,1,4,5,0,,,2.2,3,0,1.3
E06000052,Cornwall and Isles of Scilly,3,4,2,3,6,4,5,2,4,7,0.9,1.2,,0.9,1.8,1.1
E06000054,Wiltshire                                         ,3,0,0,2,3,4,0,0,2,4,1,0,0,,1,0.5
E07000040,East Devon                                        ,0,1,1,1,0,0,1,1,1,0,0,,,,0,0.7
E07000041,Exeter                                            ,0,4,1,3,0,0,5,1,4,0,0,5,,3.6,0,2
E07000042,Mid Devon                                         ,0,0,2,0,0,0,0,2,0,0,0,0,,0,0,
E07000043,North Devon                                       ,0,0,4,1,0,0,0,5,1,0,0,0,7,,0,1.7
E07000044,South Hams                                        ,1,0,1,0,0,1,0,1,0,0,,0,,0,0,
E07000045,Teignbridge                                       ,1,2,0,2,0,1,2,0,2,0,,,0,,0,1.3
E07000046,Torridge                                          ,0,1,0,0,0,0,1,0,0,0,0,,0,0,0,
E07000048,Christchurch                                      ,0,0,1,0,1,0,0,1,0,1,0,0,,0,,
E07000052,West Dorset                                       ,1,0,2,0,0,1,0,2,0,0,,0,,0,0,1
E07000053,Weymouth and Portland                             ,1,3,1,0,1,1,4,1,0,1,,7.4,,0,,3
E07000078,Cheltenham                                        ,1,0,0,2,1,1,0,0,2,1,,0,0,,,1.1
E07000079,Cotswold                                          ,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,
E07000081,Gloucester                                        ,1,1,1,2,3,1,1,1,2,4,,,,,3.8,2.1
E07000082,Stroud                                            ,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,
E07000083,Tewkesbury                                        ,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,
E07000187,Mendip                                            ,0,0,1,1,0,0,0,1,1,0,0,0,,,0,
E07000188,Sedgemoor                                         ,1,1,0,1,0,1,1,0,1,0,,,0,,0,0.8
E07000189,South Somerset                                    ,0,1,2,0,0,0,1,2,0,0,0,,,0,0,0.6
E07000190,Taunton Deane                                     ,3,1,2,0,2,4,1,2,0,2,4.5,,,0,,2.3
E07000191,West Somerset                                     ,0,1,1,1,0,0,1,1,1,0,0,,,,0,2.9
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
W06000002,Gwynedd                                           ,1,0,2,1,0,1,0,2,1,0,,0,,,0,1.1
W06000003,Conwy                                             ,0,1,0,0,1,0,1,0,0,1,0,,0,0,,
W06000004,Denbighshire                                      ,1,0,1,2,0,1,0,1,2,0,,0,,,0,1.4
W06000006,Wrexham                                           ,0,1,0,1,5,0,1,0,1,6,0,,0,,6.1,1.7
W06000008,Ceredigion                                        ,1,0,0,1,0,1,0,0,1,0,,0,0,,0,
W06000009,Pembrokeshire                                     ,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,
W06000010,Carmarthenshire                                   ,0,0,0,2,0,0,0,0,2,0,0,0,0,,0,
W06000011,Swansea                                           ,0,1,4,3,1,0,1,5,4,1,0,,2.6,2,,1.2
W06000012,Neath Port Talbot                                 ,0,0,0,2,0,0,0,0,2,0,0,0,0,,0,
W06000013,Bridgend                                          ,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,
W06000014,Vale of Glamorgan                                 ,2,0,1,1,0,2,0,1,1,0,,0,,,0,1
W06000015,Cardiff                                           ,7,1,3,5,3,9,1,4,6,4,3.2,,1.3,2.2,1.3,1.7
W06000016,Rhondda Cynon Taf                                 ,0,0,1,0,1,0,0,1,0,1,0,0,,0,,
W06000018,Caerphilly                                        ,2,0,1,0,0,2,0,1,0,0,,0,,0,0,0.5
W06000020,Torfaen                                           ,1,0,1,1,0,1,0,1,1,0,,0,,,0,1.1
W06000021,Monmouthshire                                     ,1,0,1,0,0,1,0,1,0,0,,0,,0,0,
W06000022,Newport                                           ,0,1,4,2,0,0,1,5,2,0,0,,4.4,,0,1.5
W06000024,Merthyr Tydfil                                    ,0,0,0,1,0,0,0,0,1,0,0,0,0,,0,
